"DVSN","STTN FROM","STTN TO","RR NO.","RR DATE","FNR","P/T","INVC NO.","INVC DATE","CMDT","CNSR","CNSR GSTIN","CNSG","CNSG GSTIN","RLY GSTIN","TAX INVCID","FREIGHT PAID BY","ADVANCE FREIGHT SCHEME","ROUND TRIP TRAFFIC","CHRG WGHT","ACTL WGHT","CHRG CLSS","RATE(Q)","BSC FRGT","POL","TOTL FRGT(EXCLUDE GST)","IGST","CGST","SGST","UGST","TOTL GST","TDS IGST","TDS CGST","TDS SGST","TDS UGST","TOTL TDS","TDS REGISTRATION NO.","TOTL FRGT(INCLUDE GST)","DMRG","P/M","OTHR CHRG CODE","OTHR CHRG AMNT","REBATE CODE","REBATE AMNT","E-PAYID"
"CKP","FOS","NHSB","261008869","08-04-2026","26040420536","P","16","07-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140161","CNSG","N","N","3732.6","3516.6","165","203.5","759584.1","0","979460","48973","0","0","0","48973","","","","","","","1028433","","E","DCLA","24300","","","SB00D8BCD3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","113956.28","","","SB00D8BCD3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","43671.42","","","SB00D8BCD3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","7067.53","","","SB00D8BCD3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8BCD3"
"CKP","FOS","NHSB","261008867","08-04-2026","26040621700","P","17","07-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140154","CNSG","N","N","3740.2","3663.2","165","203.5","761130.7","0","904044","45202.2","0","0","0","45203","","","","","","","949247","","E","DCLA","24300","","","SB00D8BB6F"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","114188.31","","","SB00D8BB6F"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","43760.34","","","SB00D8BB6F"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","5897.43","","","SB00D8BB6F"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8BB6F"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GWIS","76113.07","SB00D8BB6F"
"CKP","FOS","NHSB","261008868","08-04-2026","26040420679","P","18","07-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140155","CNSG","N","N","3797.8","3391.2","165","203.5","772852.3","0","989332","49466.6","0","0","0","49467","","","","","","","1038799","","E","DCLA","24750","","","SB00D8BB79"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","115946.83","","","SB00D8BB79"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","44434.26","","","SB00D8BB79"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","468.05","","","SB00D8BB79"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8BB79"
"CKP","FOS","NHSB","261008871","09-04-2026","26040420749","P","19","08-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140176","CNSG","N","N","3731","3547.4","165","203.5","759258.5","0","984241","49212.05","0","0","0","49213","","","","","","","1033454","","E","DCLA","24300","","","SB00D8C092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","113907.43","","","SB00D8C092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","43652.7","","","SB00D8C092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PCLA","8100","","","SB00D8C092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","4142.23","","","SB00D8C092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8C092"
"CKP","FOS","NHSB","261008873","09-04-2026","26040420925","P","20","08-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140185","CNSG","N","N","3733.8","3534.2","165","203.5","759828.3","0","987223","49361.15","0","0","0","49362","","","","","","","1036585","","E","DCLA","32400","","","SB00D8C40C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","113992.91","","","SB00D8C40C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","43685.46","","","SB00D8C40C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","6435.68","","","SB00D8C40C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8C40C"
"CKP","FOS","NHSB","261008872","09-04-2026","26040820620","P","21","08-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140184","CNSG","N","N","3795","3483.4","165","203.5","772282.5","0","963426","48171.3","0","0","0","48172","","","","","","","1011598","","E","DPO","115861.35","","","SB00D8C407"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","44401.5","","","SB00D8C407"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","30880","","","SB00D8C407"
"CKP","FOS","NHSB","261008874","09-04-2026","26040722744","P","22","09-04-2026","1421318","SAIL","20AAACS7062FAZJ","SAIL","21AAACS7062F2ZP","20AAAGM0289C1ZX","9926042054140194","CNSG","N","N","3523","3297.6","165","203.5","716930.5","0","852665","42633.25","0","0","0","42634","","","","","","","895299","","E","DCLA","22950","","","SB00D8C600"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","107557.19","","","SB00D8C600"
