DVSN,STTN FROM,STTN TO,RR NO.,RR DATE,FNR,P/T,INVC NO.,INVC DATE,CMDT,CNSR,CNSR GSTIN,CNSG,CNSG GSTIN,RLY GSTIN,TAX INVCID,FREIGHT PAID BY,ADVANCE FREIGHT SCHEME,ROUND TRIP TRAFFIC,CHRG WGHT,ACTL WGHT,CHRG CLSS,RATE(Q),BSC FRGT,POL,TOTL FRGT(EXCLUDE GST),IGST,CGST,SGST,UGST,TOTL GST,TDS IGST,TDS CGST,TDS SGST,TDS UGST,TOTL TDS,TDS REGISTRATION NO.,TOTL FRGT(INCLUDE GST),DMRG,P/M,OTHR CHRG CODE,OTHR CHRG AMNT,REBATE CODE,REBATE AMNT,E-PAYID,_source
ADRA,BLSG,BSCS,262003693.0,2026-04-09,26040801999.0,P,1.0,2026-04-08,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926042370140032.0,CNSR,N,N,4089.7,4081.2,145,1119.7,4579237.09,0.0,5858746.0,0.0,146468.65,146468.65,0.0,292938.0,0.0,0.0,0.0,0.0,0.0,,6151684.0,0.0,E,DCLA,17400.0,,0.0,SB00D8C462,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003694.0,2026-04-11,26041102512.0,P,2.0,2026-04-11,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926042370140040.0,CNSR,N,N,4172.9,4172.9,145,1119.7,4672396.13,0.0,5766523.0,0.0,144163.08,144163.08,0.0,288327.0,0.0,0.0,0.0,0.0,0.0,,6054850.0,0.0,E,DCLA,26550.0,,0.0,SB00D8D444,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003696.0,2026-04-19,26041806089.0,P,3.0,2026-04-18,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926042370140070.0,CNSR,N,N,4074.8,4066.7,145,1119.7,4562553.56,0.0,5624738.0,0.0,140618.45,140618.45,0.0,281237.0,0.0,0.0,0.0,0.0,0.0,,5905975.0,0.0,E,DCLA,17400.0,,0.0,SB00D90A17,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003697.0,2026-04-20,26041903762.0,P,4.0,2026-04-19,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926042370140072.0,CNSR,N,N,4082.3,4068.4,145,1119.7,4570951.31,0.0,5619438.0,0.0,140485.95,140485.95,0.0,280972.0,0.0,0.0,0.0,0.0,0.0,,5900410.0,0.0,E,DCLA,17400.0,,0.0,SB00D90F15,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003698.0,2026-04-23,26042201768.0,P,5.0,2026-04-22,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926042370140084.0,CNSR,N,N,4071.7,4032.0,145,1119.7,4559082.49,0.0,5620547.0,0.0,140513.68,140513.68,0.0,281028.0,0.0,0.0,0.0,0.0,0.0,,5901575.0,0.0,E,DCLA,17400.0,,0.0,SB00D924D3,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003703.0,2026-05-03,26050201994.0,P,6.0,2026-05-02,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926052370140012.0,CNSR,N,N,4170.7,4168.1,145,1119.7,4669932.79,0.0,5772399.0,0.0,144309.98,144309.98,0.0,288620.0,0.0,0.0,0.0,0.0,0.0,,6061019.0,0.0,E,DCLA,35400.0,,0.0,SB00D96ED8,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003705.0,2026-05-08,26050802359.0,P,7.0,2026-05-08,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926052370140036.0,CNSR,N,N,4083.3,4076.0,145,1119.7,4572071.01,0.0,5620790.0,0.0,140519.75,140519.75,0.0,281040.0,0.0,0.0,0.0,0.0,0.0,,5901830.0,0.0,E,DCLA,17400.0,,0.0,SB00D99897,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003706.0,2026-05-10,26051001674.0,P,8.0,2026-05-10,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926052370140048.0,CNSR,N,N,4155.6,4135.6,145,1119.7,4653025.32,0.0,5709993.0,0.0,142749.83,142749.83,0.0,285500.0,0.0,0.0,0.0,0.0,0.0,,5995493.0,0.0,E,DCLA,8850.0,,0.0,SB00D9A68C,Outward Freight Details (4).csv
ADRA,BLSG,BSCS,262003707.0,2026-05-11,26051103042.0,P,9.0,2026-05-11,1421968.0,SAIL,23AAACS7062F1ZM,SAIL,20AAACS7062FAZJ,23AAAGM0289C1ZR,9926052370140052.0,CNSR,N,N,4160.6,4137.7,145,1119.7,4658623.82,0.0,5716753.0,0.0,142918.83,142918.83,0.0,285838.0,0.0,0.0,0.0,0.0,0.0,,6002591.0,0.0,E,DCLA,8850.0,,0.0,SB00D9ADAF,Outward Freight Details (4).csv
ADRA,BRMS,BSCS,261001394.0,2026-04-19,26033028215.0,P,1.0,2026-04-18,1421312.0,BSLC,21AABCT2118C1Z7,SAIL,20AAACS7062FAZJ,21AAAGM0289C1ZV,9926042154140838.0,CNSG,N,N,2894.6,2890.4,145,516.1,1493903.06,0.0,1966218.0,98310.9,0.0,0.0,0.0,98311.0,0.0,0.0,0.0,0.0,0.0,,2064529.0,0.0,E,DCLA,13200.0,,0.0,SB00D90D67,Outward Freight Details (4).csv
